Location,Pixel_val,Coord_val
194,"(3, 44)","(-13.11662222043516, 7.290438891732474)"
195,"(3, 45)","(-13.11662222043516, 7.228861113462074)"
196,"(3, 46)","(-13.11662222043516, 7.167283335191673)"
197,"(3, 47)","(-13.11662222043516, 7.105705556921274)"
198,"(3, 48)","(-13.11662222043516, 7.044127778650873)"
199,"(3, 49)","(-13.11662222043516, 6.982550000380474)"
200,"(4, 0)","(-13.056005553283558, 9.999861135630074)"
201,"(4, 1)","(-13.056005553283558, 9.938283357359673)"
202,"(4, 2)","(-13.056005553283558, 9.876705579089274)"
203,"(4, 3)","(-13.056005553283558, 9.815127800818873)"
204,"(4, 4)","(-13.056005553283558, 9.753550022548474)"
205,"(4, 5)","(-13.056005553283558, 9.691972244278073)"
206,"(4, 6)","(-13.056005553283558, 9.630394466007674)"
207,"(4, 7)","(-13.056005553283558, 9.568816687737273)"
208,"(4, 8)","(-13.056005553283558, 9.507238909466874)"
209,"(4, 9)","(-13.056005553283558, 9.445661131196474)"
210,"(4, 10)","(-13.056005553283558, 9.384083352926073)"
211,"(4, 11)","(-13.056005553283558, 9.322505574655674)"
212,"(4, 12)","(-13.056005553283558, 9.260927796385273)"
213,"(4, 13)","(-13.056005553283558, 9.199350018114874)"
214,"(4, 14)","(-13.056005553283558, 9.137772239844473)"
215,"(4, 15)","(-13.056005553283558, 9.076194461574074)"
216,"(4, 16)","(-13.056005553283558, 9.014616683303673)"
217,"(4, 17)","(-13.056005553283558, 8.953038905033274)"
218,"(4, 18)","(-13.056005553283558, 8.891461126762874)"
219,"(4, 19)","(-13.056005553283558, 8.829883348492473)"
220,"(4, 20)","(-13.056005553283558, 8.768305570222074)"
221,"(4, 21)","(-13.056005553283558, 8.706727791951673)"
222,"(4, 22)","(-13.056005553283558, 8.645150013681274)"
223,"(4, 23)","(-13.056005553283558, 8.583572235410873)"
224,"(4, 24)","(-13.056005553283558, 8.521994457140474)"
225,"(4, 25)","(-13.056005553283558, 8.460416678870073)"
226,"(4, 26)","(-13.056005553283558, 8.398838900599674)"
227,"(4, 27)","(-13.056005553283558, 8.337261122329274)"
228,"(4, 28)","(-13.056005553283558, 8.275683344058873)"
229,"(4, 29)","(-13.056005553283558, 8.214105565788474)"
230,"(4, 30)","(-13.056005553283558, 8.152527787518073)"
231,"(4, 31)","(-13.056005553283558, 8.090950009247674)"
232,"(4, 32)","(-13.056005553283558, 8.029372230977273)"
233,"(4, 33)","(-13.056005553283558, 7.967794452706873)"
234,"(4, 34)","(-13.056005553283558, 7.9062166744364735)"
235,"(4, 35)","(-13.056005553283558, 7.844638896166074)"
236,"(4, 36)","(-13.056005553283558, 7.783061117895674)"
237,"(4, 37)","(-13.056005553283558, 7.721483339625273)"
238,"(4, 38)","(-13.056005553283558, 7.659905561354874)"
239,"(4, 39)","(-13.056005553283558, 7.598327783084473)"
240,"(4, 40)","(-13.056005553283558, 7.536750004814074)"
241,"(4, 41)","(-13.056005553283558, 7.475172226543673)"
242,"(4, 42)","(-13.056005553283558, 7.413594448273273)"
243,"(4, 43)","(-13.056005553283558, 7.3520166700028735)"
244,"(4, 44)","(-13.056005553283558, 7.290438891732474)"
245,"(4, 45)","(-13.056005553283558, 7.228861113462074)"
246,"(4, 46)","(-13.056005553283558, 7.167283335191673)"
247,"(4, 47)","(-13.056005553283558, 7.105705556921274)"
248,"(4, 48)","(-13.056005553283558, 7.044127778650873)"
249,"(4, 49)","(-13.056005553283558, 6.982550000380474)"
250,"(5, 0)","(-12.995388886131959, 9.999861135630074)"
251,"(5, 1)","(-12.995388886131959, 9.938283357359673)"
252,"(5, 2)","(-12.995388886131959, 9.876705579089274)"
253,"(5, 3)","(-12.995388886131959, 9.815127800818873)"
254,"(5, 4)","(-12.995388886131959, 9.753550022548474)"
255,"(5, 5)","(-12.995388886131959, 9.691972244278073)"
256,"(5, 6)","(-12.995388886131959, 9.630394466007674)"
257,"(5, 7)","(-12.995388886131959, 9.568816687737273)"
258,"(5, 8)","(-12.995388886131959, 9.507238909466874)"
259,"(5, 9)","(-12.995388886131959, 9.445661131196474)"
260,"(5, 10)","(-12.995388886131959, 9.384083352926073)"
261,"(5, 11)","(-12.995388886131959, 9.322505574655674)"
262,"(5, 12)","(-12.995388886131959, 9.260927796385273)"
263,"(5, 13)","(-12.995388886131959, 9.199350018114874)"
264,"(5, 14)","(-12.995388886131959, 9.137772239844473)"
265,"(5, 15)","(-12.995388886131959, 9.076194461574074)"
266,"(5, 16)","(-12.995388886131959, 9.014616683303673)"
267,"(5, 17)","(-12.995388886131959, 8.953038905033274)"
268,"(5, 18)","(-12.995388886131959, 8.891461126762874)"
269,"(5, 19)","(-12.995388886131959, 8.829883348492473)"
270,"(5, 20)","(-12.995388886131959, 8.768305570222074)"
271,"(5, 21)","(-12.995388886131959, 8.706727791951673)"
272,"(5, 22)","(-12.995388886131959, 8.645150013681274)"
273,"(5, 23)","(-12.995388886131959, 8.583572235410873)"
274,"(5, 24)","(-12.995388886131959, 8.521994457140474)"
275,"(5, 25)","(-12.995388886131959, 8.460416678870073)"
276,"(5, 26)","(-12.995388886131959, 8.398838900599674)"
277,"(5, 27)","(-12.995388886131959, 8.337261122329274)"
278,"(5, 28)","(-12.995388886131959, 8.275683344058873)"
279,"(5, 29)","(-12.995388886131959, 8.214105565788474)"
280,"(5, 30)","(-12.995388886131959, 8.152527787518073)"
281,"(5, 31)","(-12.995388886131959, 8.090950009247674)"
282,"(5, 32)","(-12.995388886131959, 8.029372230977273)"
283,"(5, 33)","(-12.995388886131959, 7.967794452706873)"
284,"(5, 34)","(-12.995388886131959, 7.9062166744364735)"
285,"(5, 35)","(-12.995388886131959, 7.844638896166074)"
286,"(5, 36)","(-12.995388886131959, 7.783061117895674)"
287,"(5, 37)","(-12.995388886131959, 7.721483339625273)"
288,"(5, 38)","(-12.995388886131959, 7.659905561354874)"
289,"(5, 39)","(-12.995388886131959, 7.598327783084473)"
290,"(5, 40)","(-12.995388886131959, 7.536750004814074)"
291,"(5, 41)","(-12.995388886131959, 7.475172226543673)"
292,"(5, 42)","(-12.995388886131959, 7.413594448273273)"
293,"(5, 43)","(-12.995388886131959, 7.3520166700028735)"
294,"(5, 44)","(-12.995388886131959, 7.290438891732474)"
295,"(5, 45)","(-12.995388886131959, 7.228861113462074)"
296,"(5, 46)","(-12.995388886131959, 7.167283335191673)"
297,"(5, 47)","(-12.995388886131959, 7.105705556921274)"
298,"(5, 48)","(-12.995388886131959, 7.044127778650873)"
299,"(5, 49)","(-12.995388886131959, 6.982550000380474)"
300,"(6, 0)","(-12.93477221898036, 9.999861135630074)"
301,"(6, 1)","(-12.93477221898036, 9.938283357359673)"
302,"(6, 2)","(-12.93477221898036, 9.876705579089274)"
303,"(6, 3)","(-12.93477221898036, 9.815127800818873)"
304,"(6, 4)","(-12.93477221898036, 9.753550022548474)"
305,"(6, 5)","(-12.93477221898036, 9.691972244278073)"
306,"(6, 6)","(-12.93477221898036, 9.630394466007674)"
307,"(6, 7)","(-12.93477221898036, 9.568816687737273)"
308,"(6, 8)","(-12.93477221898036, 9.507238909466874)"
309,"(6, 9)","(-12.93477221898036, 9.445661131196474)"
310,"(6, 10)","(-12.93477221898036, 9.384083352926073)"
311,"(6, 11)","(-12.93477221898036, 9.322505574655674)"
312,"(6, 12)","(-12.93477221898036, 9.260927796385273)"
313,"(6, 13)","(-12.93477221898036, 9.199350018114874)"
314,"(6, 14)","(-12.93477221898036, 9.137772239844473)"
315,"(6, 15)","(-12.93477221898036, 9.076194461574074)"
316,"(6, 16)","(-12.93477221898036, 9.014616683303673)"
317,"(6, 17)","(-12.93477221898036, 8.953038905033274)"
318,"(6, 18)","(-12.93477221898036, 8.891461126762874)"
319,"(6, 19)","(-12.93477221898036, 8.829883348492473)"
320,"(6, 20)","(-12.93477221898036, 8.768305570222074)"
321,"(6, 21)","(-12.93477221898036, 8.706727791951673)"
322,"(6, 22)","(-12.93477221898036, 8.645150013681274)"
323,"(6, 23)","(-12.93477221898036, 8.583572235410873)"
324,"(6, 24)","(-12.93477221898036, 8.521994457140474)"
325,"(6, 25)","(-12.93477221898036, 8.460416678870073)"
326,"(6, 26)","(-12.93477221898036, 8.398838900599674)"
327,"(6, 27)","(-12.93477221898036, 8.337261122329274)"
328,"(6, 28)","(-12.93477221898036, 8.275683344058873)"
329,"(6, 29)","(-12.93477221898036, 8.214105565788474)"
330,"(6, 30)","(-12.93477221898036, 8.152527787518073)"
331,"(6, 31)","(-12.93477221898036, 8.090950009247674)"
332,"(6, 32)","(-12.93477221898036, 8.029372230977273)"
333,"(6, 33)","(-12.93477221898036, 7.967794452706873)"
334,"(6, 34)","(-12.93477221898036, 7.9062166744364735)"
335,"(6, 35)","(-12.93477221898036, 7.844638896166074)"
336,"(6, 36)","(-12.93477221898036, 7.783061117895674)"
337,"(6, 37)","(-12.93477221898036, 7.721483339625273)"
338,"(6, 38)","(-12.93477221898036, 7.659905561354874)"
339,"(6, 39)","(-12.93477221898036, 7.598327783084473)"
340,"(6, 40)","(-12.93477221898036, 7.536750004814074)"
341,"(6, 41)","(-12.93477221898036, 7.475172226543673)"
342,"(6, 42)","(-12.93477221898036, 7.413594448273273)"
