Location,Pixel_val,Coord_val,pixel_x,pixel_y,coord_x,coord_y,value,Min_Dist
178,"(3.0, 28.0)","(-13.11662222043516, 8.275683344058873)",3,28,-13.11662222,8.275683344,0.005134248,0.068760275
179,"(3.0, 29.0)","(-13.11662222043516, 8.214105565788474)",3,29,-13.11662222,8.214105566,0.003808602,0.120014588
180,"(3.0, 30.0)","(-13.11662222043516, 8.152527787518073)",3,30,-13.11662222,8.152527788,0.003408804,0.177940082
181,"(3.0, 31.0)","(-13.11662222043516, 8.090950009247674)",3,31,-13.11662222,8.090950009,0.001235809,0.237708835
182,"(3.0, 32.0)","(-13.11662222043516, 8.029372230977273)",3,32,-13.11662222,8.029372231,0.001073142,0.298214609
183,"(3.0, 33.0)","(-13.11662222043516, 7.967794452706873)",3,33,-13.11662222,7.967794453,0.003408804,0.359085033
184,"(3.0, 34.0)","(-13.11662222043516, 7.9062166744364735)",3,34,-13.11662222,7.906216674,0.001304604,0.420161654
185,"(3.0, 35.0)","(-13.11662222043516, 7.844638896166074)",3,35,-13.11662222,7.844638896,0.002672334,0.481365988
186,"(3.0, 36.0)","(-13.11662222043516, 7.783061117895674)",3,36,-13.11662222,7.783061118,0.00364459,0.542654825
187,"(3.0, 37.0)","(-13.11662222043516, 7.721483339625273)",3,37,-13.11662222,7.72148334,0.001241478,0.604002442
188,"(3.0, 38.0)","(-13.11662222043516, 7.659905561354874)",3,38,-13.11662222,7.659905561,0,0.665392581
189,"(3.0, 39.0)","(-13.11662222043516, 7.598327783084473)",3,39,-13.11662222,7.598327783,0,0.726814466
190,"(3.0, 40.0)","(-13.11662222043516, 7.536750004814074)",3,40,-13.11662222,7.536750005,0,0.788260677
191,"(3.0, 41.0)","(-13.11662222043516, 7.475172226543673)",3,41,-13.11662222,7.475172227,0,0.849725936
192,"(3.0, 42.0)","(-13.11662222043516, 7.413594448273273)",3,42,-13.11662222,7.413594448,0,0.91120639
193,"(3.0, 43.0)","(-13.11662222043516, 7.3520166700028735)",3,43,-13.11662222,7.35201667,0,0.972699157
194,"(3.0, 44.0)","(-13.11662222043516, 7.290438891732474)",3,44,-13.11662222,7.290438892,0,1.034202039
195,"(3.0, 45.0)","(-13.11662222043516, 7.228861113462074)",3,45,-13.11662222,7.228861113,0,1.095713336
196,"(3.0, 46.0)","(-13.11662222043516, 7.167283335191673)",3,46,-13.11662222,7.167283335,0,1.157231703
197,"(3.0, 47.0)","(-13.11662222043516, 7.105705556921274)",3,47,-13.11662222,7.105705557,0,1.218756071
198,"(3.0, 48.0)","(-13.11662222043516, 7.044127778650873)",3,48,-13.11662222,7.044127779,0,1.280285574
199,"(3.0, 49.0)","(-13.11662222043516, 6.982550000380474)",3,49,-13.11662222,6.98255,0,1.341819507
200,"(4.0, 0.0)","(-13.056005553283558, 9.999861135630074)",4,0,-13.05600555,9.999861136,0,1.372567198
201,"(4.0, 1.0)","(-13.056005553283558, 9.938283357359673)",4,1,-13.05600555,9.938283357,0,1.318399587
202,"(4.0, 2.0)","(-13.056005553283558, 9.876705579089274)",4,2,-13.05600555,9.876705579,0,1.264405661
203,"(4.0, 3.0)","(-13.056005553283558, 9.815127800818873)",4,3,-13.05600555,9.815127801,0,1.210039134
204,"(4.0, 4.0)","(-13.056005553283558, 9.753550022548474)",4,4,-13.05600555,9.753550023,0,1.156221254
205,"(4.0, 5.0)","(-13.056005553283558, 9.691972244278073)",4,5,-13.05600555,9.691972244,0,1.103215353
206,"(4.0, 6.0)","(-13.056005553283558, 9.630394466007674)",4,6,-13.05600555,9.630394466,0,1.051144276
207,"(4.0, 7.0)","(-13.056005553283558, 9.568816687737273)",4,7,-13.05600555,9.568816688,0,1.000154042
208,"(4.0, 8.0)","(-13.056005553283558, 9.507238909466874)",4,8,-13.05600555,9.507238909,0,0.950418629
209,"(4.0, 9.0)","(-13.056005553283558, 9.445661131196474)",4,9,-13.05600555,9.445661131,0,0.902145598
210,"(4.0, 10.0)","(-13.056005553283558, 9.384083352926073)",4,10,-13.05600555,9.384083353,0,0.848207187
211,"(4.0, 11.0)","(-13.056005553283558, 9.322505574655674)",4,11,-13.05600555,9.322505575,0,0.79252516
212,"(4.0, 12.0)","(-13.056005553283558, 9.260927796385273)",4,12,-13.05600555,9.260927796,0.000146621,0.737780775
213,"(4.0, 13.0)","(-13.056005553283558, 9.199350018114874)",4,13,-13.05600555,9.199350018,0.000354455,0.684199138
214,"(4.0, 14.0)","(-13.056005553283558, 9.137772239844473)",4,14,-13.05600555,9.13777224,0.000481756,0.63207602
215,"(4.0, 15.0)","(-13.056005553283558, 9.076194461574074)",4,15,-13.05600555,9.076194462,0.000272297,0.581803553
216,"(4.0, 16.0)","(-13.056005553283558, 9.014616683303673)",4,16,-13.05600555,9.014616683,0.001927024,0.533904766
217,"(4.0, 17.0)","(-13.056005553283558, 8.953038905033274)",4,17,-13.05600555,8.953038905,0.000272297,0.489077571
